,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_per_trip,fuel_per_hour,cost_trip
290,17.3,4.1,22,22.0,25,SP98,0,0,1,0.709,0.0322,1.0355779999999999
291,6.6,5.6,43,22.0,16,SP98,0,0,0,0.37,0.0086,0.5396159999999999
292,14.3,4.1,26,22.0,20,SP98,0,0,0,0.586,0.0225,0.8559979999999999
293,13.3,4.6,33,22.0,18,SP98,0,0,0,0.612,0.0185,0.893228
294,8.3,4.9,26,22.0,23,SP98,0,0,0,0.407,0.0157,0.593782
295,12.7,4.5,39,22.0,27,SP98,0,0,1,0.572,0.0147,0.83439
296,16.5,4.1,47,22.0,14,SP98,0,0,0,0.676,0.0144,0.9876899999999998
297,20.6,4.1,38,22.0,21,SP98,0,0,0,0.845,0.0222,1.2331159999999999
298,16.3,4.5,58,22.0,16,SP98,0,0,0,0.734,0.0127,1.07091
299,18.7,4.2,65,25.0,18,SP98,1,0,1,0.785,0.0121,1.146684
300,36.5,3.9,54,23.0,18,SP98,0,0,1,1.424,0.0264,2.07831
301,19.0,5.0,35,22.0,15,SP98,1,0,1,0.95,0.0271,1.387
302,16.6,4.4,46,22.0,5,SP98,1,0,0,0.73,0.0159,1.066384
303,29.9,4.5,32,22.0,18,SP98,1,0,0,1.346,0.0421,1.96443
304,16.0,3.8,42,22.0,11,SP98,0,0,0,0.608,0.0145,0.8876799999999999
305,21.1,5.1,33,22.0,10,SP98,0,1,0,1.076,0.0326,1.5711060000000001
306,16.0,3.9,40,22.0,10,SP98,0,0,0,0.624,0.0156,0.91104
307,11.9,5.3,34,22.0,13,SP98,0,0,0,0.631,0.0186,0.920822
308,10.1,4.2,35,22.0,16,SP98,0,0,0,0.424,0.0121,0.619332
309,31.9,4.3,33,22.0,16,SP98,0,0,0,1.372,0.0416,2.0026819999999996
310,18.7,4.0,60,22.0,13,SP98,0,0,0,0.748,0.0125,1.09208
311,10.8,4.7,48,22.0,17,SP98,0,0,1,0.508,0.0106,0.7410960000000001
312,19.8,4.0,56,22.0,17,SP98,0,0,1,0.792,0.0141,1.15632
313,11.3,4.3,38,22.0,17,SP98,0,0,0,0.486,0.0128,0.7094140000000001
314,11.5,5.3,53,22.0,15,SP98,0,0,0,0.609,0.0115,0.8898699999999998
315,21.4,5.2,51,22.0,13,SP98,0,0,0,1.113,0.0218,1.624688
316,32.0,4.9,53,22.0,15,SP98,0,0,0,1.568,0.0296,2.28928
317,41.9,4.7,53,22.0,14,SP98,0,0,0,1.969,0.0372,2.875178
318,211.0,4.6,80,22.0,20,SP98,0,0,0,9.706,0.1213,14.17076
319,216.1,5.3,90,22.0,21,SP98,0,0,1,11.453,0.1273,16.721818
320,25.5,3.6,27,22.0,27,SP98,0,0,1,0.918,0.034,1.34028
321,16.6,4.2,52,22.0,15,SP98,0,1,0,0.697,0.0134,1.0179120000000002
322,25.9,4.1,43,22.0,24,SP98,0,0,0,1.062,0.0247,1.5503739999999997
323,16.5,4.0,48,22.0,15,SP98,0,0,0,0.66,0.0138,0.9636
324,22.1,3.9,29,22.0,26,SP98,0,0,0,0.862,0.0297,1.2583739999999999
325,16.6,3.7,49,22.0,17,E10,0,0,0,0.614,0.0125,0.847596
326,15.4,4.5,43,22.0,24,E10,0,0,0,0.693,0.0161,0.9563399999999999
327,16.5,3.9,43,22.0,17,E10,0,0,0,0.644,0.015,0.8880299999999999
328,15.4,5.1,21,22.0,24,E10,0,0,0,0.785,0.0374,1.0838519999999998
329,18.4,4.2,59,22.0,24,E10,0,0,0,0.773,0.0131,1.066464
330,39.5,4.2,58,22.0,25,E10,0,0,0,1.659,0.0286,2.28942
331,21.5,4.8,47,25.0,27,E10,1,0,1,1.032,0.022,1.4241599999999999
332,4.8,4.7,26,25.0,18,E10,0,0,0,0.226,0.0087,0.311328
333,100.9,4.7,87,23.5,22,E10,0,0,0,4.742,0.0545,6.5443739999999995
334,129.7,4.6,58,24.0,21,E10,0,0,0,5.966,0.1029,8.233355999999997
335,16.6,3.8,43,21.5,16,E10,0,0,0,0.631,0.0147,0.870504
336,15.4,4.2,50,21.5,21,E10,0,0,0,0.647,0.0129,0.8925839999999999
337,16.0,3.7,45,22.0,17,E10,0,0,0,0.592,0.0132,0.81696
338,16.0,4.2,41,22.0,15,E10,0,0,0,0.672,0.0164,0.92736
339,15.4,4.1,45,22.0,24,E10,0,0,0,0.631,0.014,0.8713319999999999
340,16.0,4.0,43,22.0,16,E10,0,0,0,0.64,0.0149,0.8832
341,21.0,3.8,37,22.0,21,E10,0,0,0,0.798,0.0216,1.1012399999999998
342,15.4,3.8,47,22.0,24,E10,0,0,0,0.585,0.0124,0.8075759999999998
343,16.0,3.8,42,22.0,17,E10,0,0,0,0.608,0.0145,0.8390399999999999
344,16.1,5.1,30,25.0,16,E10,1,1,0,0.821,0.0274,1.1331179999999998
345,16.0,4.0,42,22.0,15,E10,0,0,0,0.64,0.0152,0.8832
346,15.4,4.8,40,22.0,18,E10,0,0,0,0.739,0.0185,1.020096
347,17.2,3.9,35,22.0,16,E10,0,0,0,0.671,0.0192,0.9257039999999999
348,16.6,4.6,50,22.0,25,E10,0,0,0,0.764,0.0153,1.0537679999999998
349,18.3,4.3,46,22.0,16,SP98,0,0,0,0.787,0.0171,1.148874
350,16.1,4.8,36,22.0,18,SP98,0,1,0,0.773,0.0215,1.128288
351,16.0,4.1,46,22.0,17,SP98,0,0,0,0.656,0.0143,0.9577599999999998
352,16.3,4.0,35,22.0,23,SP98,0,0,0,0.652,0.0186,0.95192
353,16.0,3.7,44,22.0,16,SP98,0,0,0,0.592,0.0135,0.8643200000000001
354,18.3,4.3,46,22.0,23,SP98,0,0,0,0.787,0.0171,1.148874
355,4.5,5.2,23,22.0,23,SP98,0,0,1,0.234,0.0102,0.34164
356,17.0,4.2,48,22.0,16,SP98,0,0,0,0.714,0.0149,1.04244
357,6.1,5.0,35,24.5,18,SP98,0,0,0,0.305,0.0087,0.4453
358,6.1,5.0,33,22.0,24,SP98,0,0,1,0.305,0.0092,0.4453
359,17.3,4.2,36,22.0,22,SP98,0,0,0,0.727,0.0202,1.0608360000000001
360,6.0,4.8,27,22.0,17,SP98,0,0,0,0.288,0.0107,0.42047999999999996
361,16.0,4.1,45,22.0,15,SP98,0,0,0,0.656,0.0146,0.9577599999999998
362,15.4,4.9,55,22.0,18,SP98,0,0,0,0.755,0.0137,1.1017160000000001
363,15.4,4.3,39,22.0,23,SP98,0,0,0,0.662,0.017,0.966812
364,16.0,3.9,35,22.0,18,SP98,0,0,0,0.624,0.0178,0.91104
365,15.4,4.5,52,22.0,26,SP98,0,0,0,0.693,0.0133,1.01178
366,16.6,4.1,48,25.5,30,SP98,1,0,1,0.681,0.0142,0.993676
367,15.4,5.0,48,25.5,31,SP98,1,0,0,0.77,0.016,1.1242
368,16.0,4.0,43,22.0,21,SP98,1,0,0,0.64,0.0149,0.9344
369,15.4,4.5,42,22.0,30,SP98,0,0,0,0.693,0.0165,1.01178
370,16.0,3.6,43,22.0,19,SP98,0,0,0,0.576,0.0134,0.84096
371,20.9,4.1,33,22.0,21,SP98,0,0,0,0.857,0.026,1.2510739999999998
372,32.1,3.9,47,22.0,26,SP98,0,0,0,1.252,0.0266,1.827774
373,15.3,6.6,16,24.0,27,SP98,1,0,0,1.01,0.0631,1.474308
374,28.5,4.0,44,25.0,23,SP98,1,0,0,1.14,0.0259,1.6643999999999999
375,11.9,3.7,33,25.0,19,SP98,0,0,0,0.44,0.0133,0.642838
376,14.5,4.3,36,25.0,22,SP98,0,0,0,0.624,0.0173,0.9103099999999998
377,16.6,4.1,49,22.0,26,SP98,0,0,1,0.681,0.0139,0.993676
378,16.2,4.4,39,24.5,17,SP98,1,0,0,0.713,0.0183,1.040688
379,16.7,3.8,44,24.5,23,SP98,0,0,1,0.635,0.0144,0.9265159999999999
380,8.3,5.0,52,24.5,27,SP98,0,0,0,0.415,0.008,0.6059
381,5.5,3.7,33,24.5,28,SP98,0,0,1,0.204,0.0062,0.29711000000000004
382,13.6,3.7,33,24.5,28,SP98,0,0,1,0.503,0.0152,0.734672
383,16.0,3.7,39,24.5,18,SP98,0,0,0,0.592,0.0152,0.8643200000000001
384,16.1,4.3,38,25.0,31,SP98,1,0,0,0.692,0.0182,1.010758
385,16.0,3.8,45,25.0,19,SP98,0,0,0,0.608,0.0135,0.8876799999999999
386,15.4,4.6,42,25.0,31,SP98,1,0,0,0.708,0.0169,1.0342639999999999
387,14.7,5.0,25,25.0,30,SP98,1,0,0,0.735,0.0294,1.0731
